,nal_number,client_name,client_address,sample_delivery_group,date_received,time_received,project_contact,sampler_contact,client_sample_id,nal_sample_id,date_sampled,time_sampled,sample_type,sample_location,plant_type,variety,growth_stage,vigor,new_old,nitrogen_conversion_efficiency,sap_aluminum,sap_boron,sap_brix,sap_calcium,sap_chloride,sap_cobalt,sap_copper,sap_ec,sap_iron,sap_kcaratio,sap_magnesium,sap_manganese,sap_molybdenum,sap_nickel,sap_nitrogen_as_ammonium,sap_nitrogen_as_nitrate,sap_ph,sap_phosphorous,sap_potassium,sap_selenium,sap_silica,sap_sodium,sap_sulfur,sap_total_nitrogen,sap_total_sugar,sap_zinc
0,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,A-1,t007116,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,New,98.0,0.999,4.8,5.0,254.0,270.0,< 0.01,11.3,3.71,4.64,5.51,110.0,1.34,< 0.01,0.346,< 0.01,12.6,5.92,150.0,1400.0,< 0.01,20.9,56.1,96.2,641.0,1.09,0.943
1,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,A-1,t007117,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,Old,99.3,1.21,8.32,14.6,1290.0,918.0,0.014,187.0,4.95,4.06,1.95,542.0,5.1,< 0.01,1.19,< 0.01,6.19,5.67,601.0,2510.0,0.039,22.9,64.1,447.0,911.0,1.57,2.69
2,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,A-2,t007118,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,New,98.1,0.997,9.44,12.4,998.0,334.0,0.024,30.9,4.45,2.19,1.98,323.0,7.06,< 0.01,0.703,< 0.01,12.4,5.74,286.0,1980.0,0.097,16.7,56.2,297.0,639.0,1.58,1.93
3,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,A-2,t007119,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,Old,98.7,1.57,8.79,15.0,1960.0,1010.0,0.018,104.0,4.41,7.5,1.08,668.0,12.6,< 0.01,0.912,< 0.01,13.4,5.71,245.0,2110.0,< 0.01,23.0,66.5,498.0,1070.0,2.23,3.08
4,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,A-6,t007120,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,New,96.6,1.19,4.72,6.1,369.0,297.0,< 0.01,42.6,3.62,2.45,3.77,133.0,1.53,< 0.01,0.368,< 0.01,21.3,5.97,129.0,1390.0,< 0.01,17.7,30.9,92.9,626.0,0.956,1.18
5,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,A-6,t007121,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,Old,99.0,2.01,10.4,18.7,1760.0,808.0,0.013,244.0,4.86,6.24,1.54,965.0,5.09,< 0.01,1.08,< 0.01,7.79,5.7,358.0,2710.0,0.032,23.6,77.4,401.0,761.0,1.35,5.28
6,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,A-8,t007122,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBOSANA,<15% BLOOM,2,New,97.9,1.57,7.99,10.5,631.0,321.0,0.013,63.3,4.8,3.62,3.68,331.0,2.57,< 0.01,0.464,< 0.01,11.1,5.96,239.0,2320.0,< 0.01,20.4,86.1,184.0,528.0,2.33,1.94
7,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,A-8,t007123,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBOSANA,<15% BLOOM,2,Old,99.3,2.39,8.55,18.4,1450.0,1140.0,0.019,205.0,4.87,8.57,1.79,881.0,7.61,< 0.01,0.619,< 0.01,5.95,5.79,398.0,2590.0,0.044,20.7,61.6,391.0,820.0,3.04,5.34
8,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-1,t007124,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,New,97.4,1.54,5.4,7.4,455.0,279.0,0.022,21.9,4.7,3.55,4.11,173.0,1.81,< 0.01,0.487,< 0.01,8.62,5.78,274.0,1870.0,< 0.01,15.4,37.6,196.0,329.0,1.5,1.84
9,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-1,t007125,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,Old,95.3,2.04,6.76,11.5,1450.0,345.0,0.013,284.0,4.36,5.18,1.21,675.0,8.23,< 0.01,0.55,< 0.01,32.2,5.6,411.0,1750.0,< 0.01,26.0,53.4,319.0,687.0,1.4,4.59
10,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-2,t007126,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBOSANA,<15% BLOOM,2,New,97.7,1.36,4.27,6.3,312.0,322.0,0.01,25.7,3.68,3.95,4.87,194.0,1.85,< 0.01,0.521,< 0.01,10.2,6.03,154.0,1520.0,< 0.01,17.4,25.0,84.8,444.0,1.53,1.46
11,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-2,t007127,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBOSANA,<15% BLOOM,2,Old,99.3,1.7,6.51,15.4,1190.0,1040.0,< 0.01,237.0,4.89,5.31,2.25,650.0,3.59,< 0.01,1.02,< 0.01,7.63,5.71,566.0,2680.0,< 0.01,23.0,40.2,429.0,1080.0,1.56,3.71
12,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-3,t007128,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,New,93.6,0.916,3.6,4.5,304.0,315.0,0.022,15.6,3.58,2.13,3.82,112.0,1.86,< 0.01,0.339,< 0.01,15.2,6.13,108.0,1160.0,< 0.01,14.6,22.8,83.9,237.0,0.57,1.05
13,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-3,t007129,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,Old,97.4,1.72,7.29,10.2,1200.0,506.0,0.013,199.0,4.47,8.51,1.79,393.0,6.27,< 0.01,1.02,< 0.01,13.9,5.65,367.0,2150.0,< 0.01,28.3,39.4,215.0,530.0,1.32,4.27
14,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-4,t007130,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,New,94.1,0.949,3.41,4.0,245.0,254.0,< 0.01,15.3,3.31,1.4,4.65,107.0,1.1,< 0.01,0.295,< 0.01,19.7,5.94,96.6,1140.0,< 0.01,15.2,18.2,70.6,332.0,0.796,0.943
15,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-4,t007131,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,Old,99.2,2.08,8.69,18.8,1730.0,1030.0,0.015,222.0,5.21,7.1,1.92,789.0,5.46,< 0.01,2.34,< 0.01,5.16,5.64,641.0,3330.0,0.105,25.1,48.1,497.0,673.0,1.68,5.33
16,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-5,t007132,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,New,95.4,0.503,1.83,6.5,161.0,221.0,< 0.01,7.02,2.51,1.13,3.88,64.7,0.838,< 0.01,0.14,< 0.01,26.8,6.27,50.3,625.0,< 0.01,15.6,12.0,36.5,585.0,0.379,0.59
17,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-5,t007133,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,Old,99.6,1.51,6.33,20.9,1750.0,1070.0,0.012,211.0,4.2,10.0,1.4,963.0,5.8,< 0.01,2.96,< 0.01,4.39,5.62,395.0,2450.0,< 0.01,26.3,34.4,432.0,1090.0,1.59,5.58
18,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-6,t007134,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,New,97.8,1.65,4.01,3.6,396.0,298.0,0.014,36.2,3.2,2.92,2.7,203.0,2.05,< 0.01,0.442,< 0.01,12.2,6.07,105.0,1070.0,< 0.01,18.5,27.2,92.1,557.0,0.795,1.5
19,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-6,t007135,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,Old,99.3,2.71,10.6,18.9,1730.0,982.0,0.019,270.0,4.58,8.77,1.57,1230.0,9.66,< 0.01,1.2,< 0.01,8.01,5.79,274.0,2720.0,0.046,23.7,70.6,461.0,1180.0,2.07,6.78
20,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-7,t007136,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,New,96.4,0.94,2.46,3.2,218.0,228.0,< 0.01,18.5,2.73,2.21,3.73,115.0,1.02,< 0.01,0.318,< 0.01,15.8,6.14,57.5,813.0,< 0.01,15.8,17.2,62.8,440.0,0.528,0.88
21,NAL20-216,California Olive Ranch,"265 Airpark Blvd. Str. 200, Chico, California 95973",0510221146FL,05-10-2022,11:46,Christopher Moore,Christopher Moore,B-7,t007137,05-09-2022,,Sap,Corning Ranch,OLIVE,ARBEQUINA,<15% BLOOM,3,Old,99.3,2.13,7.81,18.2,1750.0,1010.0,0.01,306.0,4.56,10.2,1.5,1010.0,5.9,< 0.01,3.18,< 0.01,6.74,5.61,696.0,2630.0,< 0.01,23.4,37.7,368.0,903.0,1.44,4.44
