,nal_number,client_name,client_address,sample_delivery_group,date_received,time_received,project_contact,sampler_contact,client_sample_id,nal_sample_id,date_sampled,time_sampled,sample_type,sample_location,liqfert_aluminum,liqfert_ammonia,liqfert_boron,liqfert_calcium,liqfert_chloride,liqfert_cobalt,liqfert_copper,liqfert_iron,liqfert_magnesium,liqfert_manganese,liqfert_molybdenum,liqfert_nickel,liqfert_nitrate,liqfert_ph,liqfert_phosphorous,liqfert_potassium,liqfert_selenium,liqfert_silica,liqfert_sodium,liqfert_soluablesalts,liqfert_sulfur,liqfert_tds,liqfert_zinc
0,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221522FL,05-10-2022,15:22,Ashley Hubbard,David Craycraft,1-6 MOMS FERT - DAY 7 NO CALI MAGIC W/ AGT-50,t007147,05-08-2022,13:15,"Water, Liquid Fertilizer",(1-6),< 0.05,4.64,0.711,126.0,9.2,< 0.05,0.523,5.99,59.5,0.762,< 0.05,< 0.05,51.1,6.5,102.0,152.0,< 0.05,0.72,21.2,1.51,125.0,982.0,0.643
1,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221522FL,05-10-2022,15:22,Ashley Hubbard,David Craycraft,1-7 MOMS FERT - DAY 7 NO CALI MAGIC NO AGT-50,t007148,05-08-2022,13:15,"Water, Liquid Fertilizer",(1-7),< 0.05,2.94,0.662,124.0,6.4,< 0.05,0.464,5.1,45.7,0.701,< 0.05,< 0.05,75.1,6.13,81.6,170.0,< 0.05,1.34,19.1,1.49,100.0,969.0,0.601
2,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221522FL,05-10-2022,15:22,Ashley Hubbard,David Craycraft,1-6 MOMS FERT - DAY 1 NO CALI MAGIC W/ AGT-50,t007149,05-09-2022,13:15,"Water, Liquid Fertilizer",(1-6),< 0.05,19.2,0.63,126.0,6.0,< 0.05,0.374,5.12,36.0,0.956,< 0.05,< 0.05,86.5,6.66,56.3,122.0,< 0.05,0.711,17.6,1.4,76.7,910.0,0.597
3,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221522FL,05-10-2022,15:22,Ashley Hubbard,David Craycraft,1-7 MOMS FERT - DAY 1 NO CALI MAGIC NO AGT-50,t007150,05-09-2022,13:15,"Water, Liquid Fertilizer",(1-7),< 0.05,10.5,0.586,117.0,6.64,< 0.05,0.454,4.27,45.7,0.844,< 0.05,< 0.05,84.2,6.18,73.5,164.0,< 0.05,0.983,15.8,1.52,89.0,988.0,0.578
4,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221522FL,05-10-2022,15:22,Ashley Hubbard,David Craycraft,RR#2 (7-3) - FERT CROP STEERING WK 5 DAY 7,t007151,05-08-2022,07:30,"Water, Liquid Fertilizer",(7-3),0.055,< 0.01,0.145,31.9,< 0.05,< 0.05,0.436,3.5,66.6,< 0.05,< 0.05,< 0.05,3.56,6.21,143.0,372.0,< 0.05,1.25,25.1,1.8,221.0,1170.0,0.424
5,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221522FL,05-10-2022,15:22,Ashley Hubbard,David Craycraft,PJ (7-6) - FERT CROP STEERING WK 5 DAY 7,t007152,05-08-2022,07:30,"Water, Liquid Fertilizer",(7-6),0.063,0.599,0.238,18.8,< 0.05,< 0.05,0.39,3.1,58.4,0.12,< 0.05,< 0.05,6.06,6.05,157.0,381.0,< 0.05,0.695,25.6,1.81,198.0,1180.0,0.339
6,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221522FL,05-10-2022,15:22,Ashley Hubbard,David Craycraft,OD (7-9) - FERT CROP STEERING WK 5 DAY 7,t007153,05-08-2022,07:30,"Water, Liquid Fertilizer",(7-9),< 0.05,< 0.01,0.583,87.0,< 0.05,0.058,0.563,5.18,98.9,0.089,< 0.05,< 0.05,3.48,5.85,184.0,268.0,< 0.05,0.318,27.3,1.87,235.0,1220.0,0.561
7,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221522FL,05-10-2022,15:22,Ashley Hubbard,David Craycraft,RR#2 (7-3) - FERT CROP STEERING WK 6 DAY 1,t007154,05-09-2022,14:00,"Water, Liquid Fertilizer",(7-3),< 0.05,8.19,0.267,67.9,3.9,< 0.05,0.261,3.16,52.7,0.558,< 0.05,< 0.05,34.5,6.22,106.0,243.0,< 0.05,0.698,15.7,1.51,136.0,982.0,0.407
8,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221522FL,05-10-2022,15:22,Ashley Hubbard,David Craycraft,PJ (7-6) - FERT CROP STEERING WK 6 DAY 1,t007155,05-09-2022,14:00,"Water, Liquid Fertilizer",(7-6),< 0.05,4.41,0.268,56.3,2.55,< 0.05,0.259,3.12,61.1,0.414,< 0.05,< 0.05,34.0,6.21,129.0,260.0,< 0.05,0.473,17.0,1.56,148.0,1010.0,0.344
9,NAL21-230,Rair Systems,"1225 S. Dettman Rd, Jackson, Michigan 49203",0510221522FL,05-10-2022,15:22,Ashley Hubbard,David Craycraft,OD (7-9) - FERT CROP STEERING WK 6 DAY 1,t007156,05-09-2022,14:00,"Water, Liquid Fertilizer",(7-9),< 0.05,9.44,0.508,96.3,3.42,< 0.05,0.348,4.15,76.3,0.585,< 0.05,< 0.05,38.7,6.16,140.0,228.0,< 0.05,0.471,17.9,1.69,167.0,1100.0,0.472
