Sample ID,Analysis Name,Analysis Keyword,Method,Analyst,Result,Unit
720,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
720,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
721,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
722,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
722,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
723,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
723,Coliform (MPN),coliform_mpn,SM9223B,kcrago,> 2420,MPN/100mL
724,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
724,Coliform (MPN),coliform_mpn,SM9223B,kcrago,579.4,MPN/100mL
725,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
725,Coliform (MPN),coliform_mpn,SM9223B,kcrago,360.9,MPN/100mL
726,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
726,Coliform (MPN),coliform_mpn,SM9223B,kcrago,> 2420,MPN/100mL
727,E.coli (MPN),ecoli_mpn,SM9223B,kcrago,< 1,MPN/100mL
727,Coliform (MPN),coliform_mpn,SM9223B,kcrago,> 2420,MPN/100mL
728,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
728,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
729,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,< 1,mg/L
729,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
729,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
730,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
730,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
731,Nitrate (NO3),nitrate,SM4500 NO-3D,kcrago,9.1,mg/L
731,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
731,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
732,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
732,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
733,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
733,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
734,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
734,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
735,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
735,E.coli (PA),ecoli_pa,SM9223B,kcrago,ABSENT,
736,Coliform (PA),coliform_pa,SM9223B,kcrago,ABSENT,
