,Column1,ID,Reference,Received,Confirmed,Farm,Field,Crop,EC  mS/cm,Phosphorus (Sap-ICP) ppm,Potassium (Sap-ICP) ppm,Calcium (Sap-ICP) ppm,Manganese (Sap-ICP) ppm,Zinc (Sap-ICP) ppm,Sulfur (Sap-ICP) ppm,Copper (Sap-ICP) ppm,Magnesium (Sap-ICP) ppm,Iron (Sap-ICP) ppm,Boron (Sap-ICP) ppm,Brix (Sap) %,pH (sap),Cl (sap) ppm,Sodium (Sap-ICP) ppm,Silicon (Sap-ICP) ppm,Aluminium (Sap-ICP) ppm,Cobalt (Sap-ICP) ppm,Molybdenum (Sap-ICP) ppm,N (sap) ppm,Total Sugars g/100g,NH4-N mg/kg,TN~ mg/kg
0,183,1919451,,2020-09-09T14:00:00,2020-09-12T05:34:15,Common Citizen,MN New,Hemp,5.74,1070,10200,2770,3.46,-0.01,625,0.13,1340,2.74,12,5,6.6,1025,21,323,-0.01,-0.01,7.2,159,1.25,48.75,1670
1,150,1904727,,2019-06-25T04:00:00,2019-06-25T07:30:59,Eco Pro Ag Products,Dewitt Peppers New,Capsicum,16.3,537,8112,5,17,18,541,2.3,771,4.5,3.4,8.7,5.5,346,7.6,17,1.5,-0.05,0.17,65,,,
2,150,1904727,,2019-06-25T04:00:00,2019-06-25T07:30:59,Eco Pro Ag Products,Dewitt Peppers New,Capsicum,16.3,537,8112,5,17,18,541,2.3,771,4.5,3.4,8.7,5.5,346,7.6,17,1.5,-0.05,0.17,65,,,
3,150,1904727,,2019-06-25T04:00:00,2019-06-25T07:30:59,Eco Pro Ag Products,Dewitt Peppers New,Capsicum,16.3,537,8112,5,17,18,541,2.3,771,4.5,3.4,8.7,5.5,346,7.6,17,1.5,-0.05,0.17,65,,,
4,27,1926463,,2021-02-24T06:11:00,2021-02-27T01:35:04,Common Citizen,Runtz New,Hemp,13.62,1411,8091,551,1.4,0.62,382,-0.01,428,1.6,7.5,6.3,6.4,1225,6.8,92,-0.01,-0.01,-0.01,411,0.65,32.5,3970
5,60,1910988,,2020-01-29T06:00:00,2020-01-29T06:03:49,Soil Doctor Consulting,Sophie's Breath f2 #1 New,Hemp,0,664,7799,542,14,5.2,1622,1.7,916,-0.01,11,12.5,6.1,0,162,115,-0.01,0.02,0.1,0,,,
6,63,1913321,,2020-05-07T04:00:00,2020-05-08T09:07:21,Jamie Eddy,IND New,Hemp,14.12,204,7522,1402,0.54,3.3,1526,1.8,355,0.63,33,7.4,7.5,678,120,136,0.4,0.17,0.19,71,0.35,-0.01,571
7,66,1904729,,2019-06-25T04:00:00,2019-06-25T07:31:09,Eco Pro Ag Products,SV Peppers New,Capsicum,18.4,277,7442,2.5,18,2.2,251,4.6,673,-0.05,0.71,5.4,6.2,724,9,16,0.49,-0.05,0.06,439,,,
8,66,1904729,,2019-06-25T04:00:00,2019-06-25T07:31:09,Eco Pro Ag Products,SV Peppers New,Capsicum,18.4,277,7442,2.5,18,2.2,251,4.6,673,-0.05,0.71,5.4,6.2,724,9,16,0.49,-0.05,0.06,439,,,
9,66,1904729,,2019-06-25T04:00:00,2019-06-25T07:31:09,Eco Pro Ag Products,SV Peppers New,Capsicum,18.4,277,7442,2.5,18,2.2,251,4.6,673,-0.05,0.71,5.4,6.2,724,9,16,0.49,-0.05,0.06,439,,,
10,61,1910989,,2020-01-29T06:00:00,2020-01-29T06:03:50,Soil Doctor Consulting,Sophie's Breath f2 #1 Old,Hemp,0,151,7439,1273,6.8,9.1,1855,1.4,1224,-0.01,24,12.8,7.4,0,307,122,-0.01,0.03,0.08,0,,,
11,18,1926454,,2021-02-24T06:11:00,2021-02-27T01:18:30,Common Citizen,DD Old,Hemp,12.95,2581,7344,596,0.79,-0.01,354,-0.01,481,0.57,4.23,5.3,6,1100,16,92,-0.01,-0.01,-0.01,622,0.18,8.25,4240
12,28,1926462,,2021-02-24T06:11:00,2021-02-27T01:35:05,Common Citizen,LAKC Old,Hemp,11.63,1514,7326,597,1.2,0.17,331,-0.01,362,1.5,6.7,5.4,6.3,1050,6.7,101,-0.01,-0.01,-0.01,222,0.57,70,3620
13,21,1926456,,2021-02-24T06:11:00,2021-02-27T01:34:56,Common Citizen,Strawberry Cream Old,Hemp,13.44,1361,7208,808,1.63,0.27,239,-0.01,402,0.55,3.28,4.4,5.9,1175,10,84,-0.01,-0.01,-0.01,1221,0.3,82.5,4650
14,101,1926307,,2021-02-18T05:17:00,2021-02-26T23:31:51,Strong Agronomy Management,Seed-Trials H1L3 Old,Hemp,11.3,188,6971,1202,1.6,3.1,286,0.06,708,0.24,2.6,4.9,7.3,1825,3.5,78,-0.01,-0.01,0.44,98,0.38,5.5,4880
15,68,1913327,,2020-05-07T04:00:00,2020-05-08T09:07:47,Jamie Eddy,#7 New,Hemp,13.38,161,6909,1040,0.74,9.2,739,2.3,451,0.74,17,6.4,7.7,482,142,176,0.33,0.28,0.19,257,0.1,-0.01,1910
16,58,1910985,,2020-01-29T06:00:00,2020-01-29T06:03:48,Soil Doctor Consulting,Sophie's Breath #3 New,Hemp,0,628,6890,774,19,3.7,1619,1.4,963,-0.01,9.1,10.8,5.7,0,145,113,-0.01,0.01,0.07,0,,,
17,55,1914644,,2020-06-11T04:00:00,2020-06-12T08:48:55,Attitude Wellness,Lightsaber FR 10 Old,Hemp,18.3,138,6875,806,11.9,14.4,591,1.3,992,4.15,17.9,8,7.8,351,15.5,56.2,-0.01,0.01,2.4,1542,0.28,133,4010
18,61,1913319,,2020-05-07T04:00:00,2020-05-08T09:07:11,Jamie Eddy,GH# 1 New,Hemp,11.74,6.47,6831,477,1.3,5.6,506,1.9,306,3.1,5.6,10.3,7,417,7.4,147,2.02,0.11,0.59,84,1.9,-0.01,1980
19,98,1905417,,2019-07-16T04:00:00,2019-07-17T09:16:50,Attitude Wellness,Bloodstar,Hemp,13.75,419,6819,1349,5.7,7.3,634,-0.05,901,2.4,29,7.4,7,446,7.7,62,-0.05,0.01,2.4,3247,,,
20,98,1905417,,2019-07-16T04:00:00,2019-07-17T09:16:50,Attitude Wellness,Bloodstar,Hemp,13.75,419,6819,1349,5.7,7.3,634,-0.05,901,2.4,29,7.4,7,446,7.7,62,-0.05,0.01,2.4,3247,,,
21,98,1905417,,2019-07-16T04:00:00,2019-07-17T09:16:50,Attitude Wellness,Bloodstar,Hemp,13.75,419,6819,1349,5.7,7.3,634,-0.05,901,2.4,29,7.4,7,446,7.7,62,-0.05,0.01,2.4,3247,,,
22,13,1919002,,2020-08-28T14:00:00,2020-09-02T03:28:08,Elevate Ag,Johnson's SARE - Corn 2 Holganix,Corn,9.52,238,6771,2090,47,2.85,518,1.86,787,4.35,6.66,9.7,5.8,1300,20,101,0.75,0.01,0.51,85,1.4,12.25,1730
23,99,1912694,,2020-04-16T14:00:00,2020-04-18T06:43:26,Jamie Eddy,IND Old,Hemp,5.67,52,6722,849,2.6,8.9,740,2.3,547,0.67,44,5.5,7.6,3101,86,99,-0.01,0.9,0.68,7447,,,
24,99,1912694,,2020-04-16T14:00:00,2020-04-18T06:43:26,Jamie Eddy,IND Old,Hemp,5.67,52,6722,849,2.6,8.9,740,2.3,547,0.67,44,5.5,7.6,3101,86,99,-0.01,0.9,0.68,7447,,,
25,99,1912694,,2020-04-16T14:00:00,2020-04-18T06:43:26,Jamie Eddy,IND Old,Hemp,5.67,52,6722,849,2.6,8.9,740,2.3,547,0.67,44,5.5,7.6,3101,86,99,-0.01,0.9,0.68,7447,,,
26,85,1920053,,2020-09-23T14:00:00,2020-09-26T05:19:00,Bevans Ag,Pitcher Welling New,Alfalfa,5.37,301,6710,6320,13,3.82,1130,0.88,1250,1.91,25,9.5,6.5,1700,265,70,0.68,0.03,1.97,37,0.35,75,2910
27,59,1910986,,2020-01-29T06:00:00,2020-01-29T06:03:48,Soil Doctor Consulting,Sophie's Breath #3 Old,Hemp,0,286,6699,1165,20,3.9,1715,0.9,1060,-0.01,24,11.8,6.1,0,339,125,-0.01,0.03,0.12,0,,,
28,28,1917342,,2020-07-29T14:00:00,2020-07-31T07:38:21,Cletus Burkholder,Asparagus Old,Asparagus,24.54,728,6683,1340,7.73,4.66,972,0.46,368,4.83,8.57,12,5.9,3650,21,6.06,0.19,0.01,3.1,90,1.12,57.5,6920
29,67,1904733,062119004-P3-MIC-A,2019-06-25T01:17:33,2019-06-25T07:31:14,Eco Pro Ag Products,SV Peppers Old,Capsicum,18,123,6634,5.7,12,2,227,4.3,617,1.9,0.55,4,5.8,1300,6,2.6,1.5,-0.05,0.26,947,,,
30,67,1904733,062119004-P3-MIC-A,2019-06-25T01:17:33,2019-06-25T07:31:14,Eco Pro Ag Products,SV Peppers Old,Capsicum,18,123,6634,5.7,12,2,227,4.3,617,1.9,0.55,4,5.8,1300,6,2.6,1.5,-0.05,0.26,947,,,
31,67,1904733,062119004-P3-MIC-A,2019-06-25T01:17:33,2019-06-25T07:31:14,Eco Pro Ag Products,SV Peppers Old,Capsicum,18,123,6634,5.7,12,2,227,4.3,617,1.9,0.55,4,5.8,1300,6,2.6,1.5,-0.05,0.26,947,,,
32,69,1904728,,2019-06-25T04:00:00,2019-06-25T07:34:05,Eco Pro Ag Products,Dewitt Peppers Old,Capsicum,11,132,6613,6.1,7,8.8,398,1.8,517,1.5,0.58,3.7,5.9,914,7.1,2.2,0.2,-0.05,0.11,654,,,
33,69,1904728,,2019-06-25T04:00:00,2019-06-25T07:34:05,Eco Pro Ag Products,Dewitt Peppers Old,Capsicum,11,132,6613,6.1,7,8.8,398,1.8,517,1.5,0.58,3.7,5.9,914,7.1,2.2,0.2,-0.05,0.11,654,,,
34,69,1904728,,2019-06-25T04:00:00,2019-06-25T07:34:05,Eco Pro Ag Products,Dewitt Peppers Old,Capsicum,11,132,6613,6.1,7,8.8,398,1.8,517,1.5,0.58,3.7,5.9,914,7.1,2.2,0.2,-0.05,0.11,654,,,
