Batch ID,Title,Client Batch ID,Client Number,Client Name,SDG Received Date/Time,Incubation Date/Time
B-270,1105191332FL,1105191332FL,NAL15-106,True Blue Farms,11/5/2019 13:32,11/5/2019 16:41
B-271,1105191627FL,1105191627FL,NAL17-046,KalHaven Out Post,11/5/2019 16:27,11/5/2019 16:51
B-272,1105191647FL,1105191647FL,NAL16-034,Mr. Grocery,11/5/2019 16:47,11/5/2019 17:10
B-273,0920191348FL,0920191348FL,NAL15-148,Burnette Foods ,9/20/2019 13:48,
B-274,1107191000FL,1107191000FL,NAL15-023,Accutek Home Inspections,11/7/2019 10:00,11/11/2019 14:53
B-275,1107191301FL,1107191301FL,NAL17-028,Hop & Vine Inn,11/7/2019 13:01,11/7/2019 16:43
B-276,1111191428FL,1111191428FL,NAL19-177,Christine Skandis,11/11/2019 14:28,11/11/2019 16:40
B-277,1112191457FL,1112191457FL,NAL18-019,Safari Joe's,11/12/2019 14:57,11/12/2019 16:42
B-278,1113191013FL,1113191013FL,NAL19-178,Nallely Saucedo,11/13/2019 10:13,11/13/2019 16:35
B-279,1114191118FL,1114191118FL,NAL18-187,Van Buren State Park,11/14/2019 11:18,11/14/2019 16:41
B-280,1114191120FL,1114191120FL,NAL18-187,Van Buren State Park,11/14/2019 11:20,11/14/2019 16:41
B-281,1114191300FL,1114191300FL,NAL18-187,Van Buren State Park,11/14/2019 13:00,11/14/2019 16:41
B-282,1114191434FL,1114191434FL,NAL15-023,Accutek Home Inspections,11/14/2019 14:34,11/14/2019 16:41
B-283,1115190923FL,1115190923FL,NAL19-182,Mary Blashill,11/15/2019 9:23,11/21/2019 11:56
B-284,1115191258FL,1115191258FL,NAL12-001,Bronson Wellness Center-South Haven,11/15/2019 12:58,11/15/2019 16:41
B-285,1115191335FL,1115191335FL,NAL15-023,Accutek Home Inspections,11/15/2019 13:35,11/15/2019 16:41
B-286,1118191005FL,1118191005FL,NAL18-096,"Dowd Properties, LLC",11/18/2019 10:05,11/18/2019 16:20
B-287,1118191006FL,1118191006FL,NAL18-096,"Dowd Properties, LLC",11/18/2019 10:06,
B-288,1118191052FL,1118191052FL,NAL16-006,Hawkshead Restaurant & Inn,11/18/2019 10:52,11/18/2019 16:20
B-289,1119191432FL,1119191432FL,NAL18-131,Laketown Golf and Conference Center,11/19/2019 14:32,11/19/2019 16:51
B-290,1119191505FL,1119191505FL,NAL18-019,Safari Joe's,11/19/2019 15:05,11/19/2019 16:51
B-291,1119191506FL,1119191506FL,NAL15-148,Burnette Foods ,11/19/2019 15:06,11/19/2019 16:51
B-292,1120191127FL,1120191127FL,NAL19-169,Palisade Nuclear Plant,11/20/2019 11:27,11/20/2019 12:04
B-293,1120191553FL,1120191553FL,NAL19-034,Revolution Farms,11/20/2019 15:53,11/20/2019 17:20
B-294,1120191549FL,1120191549FL,NAL19-034,Revolution Farms,11/20/2019 15:49,11/20/2019 17:20
B-295,1121190842FL,1121190842FL,NAL18-045,Blinker's Restaurant,11/21/2019 8:42,11/21/2019 16:40
B-296,1121190925FL,1121190925FL,NAL15-023,Accutek Home Inspections,11/21/2019 9:25,11/21/2019 15:50
B-297,1121191017FL,1121191017FL,NAL18-044,Sister Lakes,11/21/2019 10:17,11/21/2019 16:40
B-298,1121191125FL,1121191125FL,NAL18-177,BSLS,11/21/2019 11:25,11/21/2019 13:00
B-299,1121191657FL,1121191657FL,NAL12-042,Remax Lakeshore,11/21/2019 16:57,11/21/2019 17:21
B-300,1125190848FL,1125190848FL,NAL15-023,Accutek Home Inspections,11/25/2019 8:48,11/25/2019 15:00
B-301,1125191030FL,1125191030FL,NAL18-019,Safari Joe's,11/25/2019 10:30,11/25/2019 16:52
B-302,1125191101FL,1125191101FL,NAL12-042,Remax Lakeshore,11/25/2019 11:01,11/25/2019 16:52
B-1522,0519211711FL,0519211711FL,NAL20-222,High Life Farms,5/19/2021 17:11,
B-1523,0525211449FL,0525211449FL,NAL18-133,Lake Michigan Berry,5/25/2021 14:49,5/25/2021 16:43
B-1524,0525211536FL,0525211536FL,NAL17-101,D&M Blueberries,5/25/2021 15:36,5/25/2021 16:43
B-1525,0525211543FL,0525211543FL,NAL14-046,"Harris Blueberries, LLC",5/25/2021 15:43,5/25/2021 16:15
B-1526,0526210913FL,0526210913FL,NAL20-075,AAA Harris Blueberry,5/26/2021 9:13,5/26/2021 16:27
B-1527,0526210943FL,0526210943FL,NAL15-091,Antonio Reyna,5/26/2021 9:43,5/26/2021 16:27
